facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
F3FA,81075808,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/4/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075809,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/4/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075828,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/10/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075829,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/10/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075834,F3FA-H-FFFW-FPDPMP,Weekly Testrun DFWP - F3,UM01,MEC,WCOM SAFC,I,MECH,SFC,2/19/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075846,F3FA-H-SA,F3FA 2W Safety checklist.,UM01,PDN,WCOM SAFC,I,OPS,SFC,1/12/2017,CLSD NMAT PRC  SETC
F3FA,81075870,F3FA-H-SARE-KIT,Q200 3M Dressing and other Material,UM01,PDN,WCOM SAFC,I,OPS,SFC,6/2/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075875,F3FA-H-FFFW-FPDPMP,Weekly Testrun DFWP - F3,UM01,MEC,WCOM SAFC,I,MECH,SFC,2/8/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075899,F3FA-H-SARE-MOBBOA-Z8011,Basecrew Service FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,6/1/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81075900,F3FA-H-SAEE-BOAFLB-Z8010,Basecrew Service FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,6/1/2017,CLSD CNF  NMAT PRC  SETC
