facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
GROV,81070330,GROV-S-MOHD,Inspect Helideck GR,UM01,NMC,WCOM SAFC,I,MECH,SFC,4/17/2017,TECO CNF  GMPS NMAT PRC  SETC
GROV,81070337,GROV-P-PGME-EXPSDV-27XV001,V024 12M Leaktest XV Exportline to J6a,UM01,PDN,WCOM SAFC DFRD,I,OPS,SFC,8/31/2017,TECO CNF  GMPS NMAT PRC  SETC
GROV,81070338,GROV-P-WHSS-WSTREC-18XV510,V024 12M Leaktest SDV Process Gas SubsWH,UM01,PDN,WCOM SAFC DFRD,I,OPS,SFC,8/31/2017,TECO CNF  NMAT PRC  SETC
GROV,81070882,GROV-C-NAAD,Basecrew Nav-Aids maintenance GR,UM01,ELE,WCOM SAFC,I,ELEC,SFC,5/2/2017,CLSD CNF  NMAT PRC  SETC
GROV,81075400,GROV-P-WHXM-W01,Vendor 6M test G1Well GR,UM01,NMC,WCOM SAFC,L,OPS,SFC,5/13/2017,CLSD CNF  GMPS NMAT PRC  SETC
GROV,81075401,GROV-P-WHXM-W02,Vendor 6M test G2Well GR,UM01,NMC,WCOM SAFC,L,OPS,SFC,5/13/2017,CLSD CNF  GMPS NMAT PRC  SETC
GROV,81075402,GROV-P-WHXM-W03,Vendor 6M test G3Well GR,UM01,NMC,WCOM SAFC,L,OPS,SFC,5/13/2017,CLSD CNF  GMPS NMAT PRC  SETC
GROV,81075403,GROV-P-WHXM-W04,Vendor 6M test G4Well GR,UM01,NMC,WCOM SAFC,L,OPS,SFC,5/13/2017,CLSD CNF  GMPS NMAT PRC  SETC
GROV,81078053,GROV-S-MOHD-CONNET,Test Helideck Perimeter Safety Net - GR,UM01,NMC,WCOM SAFC,I,MECH,SFF,7/21/2017,CLSD CNF  PRT  NMAT PRC  SETC
GROV,81078492,GROV-U-HLCR-EL1,Basecrew Elec Maint Elec-Hydr Crane - GR,UM01,ELE,WCOM SAFC,I,ELEC,SFF,8/1/2017,CLSD CNF  NMAT PRC  SETC
GROV,81078524,GROV-F-HVAC-CLO000,Fire Dampers Function Check - GR,UM01,INS,WCOM SAFC,I,INST,SFC,8/4/2017,TECO CNF  NMAT PRC  SETC
GROV,81078525,GROV-U-HPWH-WCP,Vendor Service WHC Panel - GR,UM01,NIN,WCOM PASS SAFC,K,INST,SFC,7/30/2017,TECO CNF  GMPS NMAT PRC  SETC
GROV,81079242,GROV-H-SAEE-BOAWLB,Inspect DL-LB - GR,UM01,NMC,WCOM MERR SAFC,I,MECH,SFC,8/19/2017,TECO CNF  GMPS PRC  SETC
GROV,81081071,GROV-P-PGME-EXPSDV-27XV001,M410 6M Closure Test Export to J6A-CT,UM01,PDN,SFTA PLAN DFRD,I,OPS,SFC,1/18/2018,REL  NMAT PRC  SETC
GROV,81081072,GROV-P-WHSS-WSTREC-18XV510,M410 6M Closure Test Flowline Subsea,UM01,PDN,SFTA PLAN DFRD,I,OPS,SFC,1/18/2018,REL  NMAT PRC  SETC
GROV,81081442,GROV-C-NAAD,Vendor Inspect Nav-Aids - GR,UM01,NEL,SFTA PLAN DFRD,I,ELEC,SFC,12/31/2017,REL  NMAT PRC  SETC
GROV,81081787,GROV-H-SAEE-BOAWLB,Basecrew Service DL-LB - GR,UM01,MEC,WCOM PLAN,I,MECH,SFF,11/15/2017,REL  CNF  NMAT PRC  SETC
GROV,81081832,GROV-P-WHXM-W01,Vendor 12M tests & maintenance G1Well GR,UM01,NMC,SFTA PLAN,L,OPS,SFC,11/13/2017,REL  NMAT PRC  SETC
GROV,81081833,GROV-P-WHXM-W02,Vendor 12M tests & maintenance G2Well GR,UM01,NMC,SFTA PLAN,L,OPS,SFC,11/13/2017,REL  NMAT PRC  SETC
GROV,81081834,GROV-P-WHXM-W03,Vendor 12M tests & maintenance G3Well GR,UM01,NMC,SFTA PLAN,L,OPS,SFC,11/13/2017,REL  NMAT PRC  SETC
GROV,81081835,GROV-P-WHXM-W04,Vendor 12M tests & maintenance G4Well GR,UM01,NMC,SFTA PLAN,L,OPS,SFC,11/13/2017,REL  NMAT PRC  SETC
GROV,81082329,GROV-U-HLCR-EL1,Vendor Yearly Crane Maintenance - GR,UM01,NMC,SFTA MERR PLAN,I,MECH,SFF,12/1/2017,REL  GMPS MACM PRC  SETC
GROV,81082533,GROV-F-HVAC-CLO000,Fire Dampers Function Check - GR,UM01,INS,SFTA PLAN,I,INST,SFC,12/4/2017,REL  PRT  NMAT PRC  SETC
GROV,86000160,GROV-P-WHXM-W03CHV,301 WELLHEAD & FLOWLINE - Choke well G3,UM02,MEC,WCOM,U,INST,SFC,4/30/2012,CLSD CNF  PRT  NMAT PRC  SETC
GROV,86000161,GROV-U-HLCR-EL1DRI-L8101D2,PLATFORM CRANE - Problems with slewing c,UM02,MEC,WCOM,U,MECH,SFC,4/30/2012,CLSD CNF  PRT  NMAT PRC  SETC
GROV,86000232,GROV-S-MO,Grove Topside structure - Improve visual,UM02,PDN,WCOM,U,MECH,SFC,8/23/2012,CLSD PRT  NMAT PRC  SETC
GROV,86000240,GROV-U-ED,ELECTRICAL SYSTEMS - Rectify findings fr,UM02,ELE,WCOM,U,ELEC,SFC,4/16/2012,CLSD PRT  NMAT PRC  SETC
GROV,86000244,GROV-P-WHXM-W02FLL,201 WELLHEAD & FLOWLINE - Remove flowlin,UM02,MEC,WCOM,U,MECH,SFC,5/3/2012,CLSD PRT  NMAT PRC  SETC
GROV,86000249,GROV-S-MO,Grove Topside structure - PFP parts show,UM02,NMC,WCOM,U,MECH,SFC,4/5/2012,CLSD PRT  NMAT PRC  SETC
GROV,86000250,GROV-P-WHXM-W02FLL,201 WELLHEAD & FLOWLINE - Monitoring G2,UM02,MEC,WCOM,U,MECH,SFC,5/3/2012,TECO CNF  PRT  NMAT PRC  SETC
GROV,86000251,GROV-P-WHXM-W04,401 WELLHEAD & FLOWLINE - geen conductor,UM02,MEC,WCOM,U,MECH,SFC,5/3/2012,CLSD PRT  NMAT PRC  SETC
GROV,86000252,GROV-P-WHXM-W04CHV,401 WELLHEAD & FLOWLINE - FCV 46FCV-001,UM02,MEC,WCOM,U,ELEC,SFC,5/3/2012,CLSD CNF  PRT  NMAT PRC  SETC
GROV,86000254,GROV-P-WHXM-W04MAV,XV Wellhead Master Valve - 401 - Masterv,UM02,MEC,WCOM,U,MECH,SFC,8/23/2012,CLSD PRT  NMAT PRC  SETC
GROV,86000255,GROV-P-WHXM-W01MET,XV CI to Flowline 101 - 42-xv-101 stuck,UM02,MEC,WCOM,U,INST,SFC,5/3/2012,CLSD CNF  PRT  NMAT PRC  SETC
GROV,86000538,GROV-P-WHXM-W04FLL,Investigation Pinhole flowline G4,UM02,AIE,WCOM,U,INSP,SFC,6/6/2012,CLSD GMPS NMAT PRC  SETC
GROV,86000635,GROV-H-FFFE-CO2,Replace Co2 extinguisher lance,UM02,MEC,WCOM MERR,U,MECH,SFC,7/4/2012,CLSD CNF  GMPS PRC  SETC
GROV,86000648,GROV-H-SARE-KITHEL,Replace heli ty-down hooks and tensioner,UM02,PDN,WCOM,U,MECH,SFC,7/4/2012,CLSD CNF  GMPS PRC  SETC
GROV,86000729,GROV-C-CNEM,ESD test Grove,UM02,AIE,WCOM,U,INSP,SFC,8/13/2012,CLSD ESTC NMAT PRC  SETC
GROV,86013411,GROV-C-FGCS,Follow up to F&G tests.,UM02,INS,WCOM,U,INST,SFC,9/3/2015,CLSD CNF  NMAT PRC  SETC
GROV,86013566,GROV-U-HLCR-EL1,Review/ create explosion document crane,UM02,NEL,WCOM,U,ELEC,EXM,8/20/2015,CLSD NMAT PRC  SETC
GROV,86018214,GROV-U-HLCR-EL1,Crane load test for wire line campaign,UM02,NMC,WCOM,U,MECH,SFF,9/6/2016,TECO CNF  ESTC GMPS NMAT PRC  SETC
