facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
MJ6A,81056065,MJ6A-C-FGDT-ABHPOR,Q100 6M Portable Gas Detctors,UM01,INS,WCOM,U,INST,SFC,6/22/2016,CLSD NMAT PRC  SETC
MJ6A,81056070,MJ6A-P-PGP1-TSEBDV-30XV020,I061 12M BDV Blow Down Valve Test Sepera,UM01,INS,WCOM SAFC,U,INST,SFC,6/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056071,MJ6A-U-FUF1-OUTBDV-60XV005,I061 12M XV Fuel Gas to Generators Blowd,UM01,INS,WCOM SAFC,U,INST,SFC,6/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056072,MJ6A-P-PGP1-IS1BDV-30XV012,I061 12M XV Shutdown Valve Slugcatcher B,UM01,INS,WCOM SAFC,U,INST,SFC,6/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056073,MJ6A-P-VEH1-KODOUT-34XV001,I061 12M XV SDV Vent K.O. Drum,UM01,INS,WCOM SAFC,U,INST,SFC,6/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056099,MJ6A-P-PGM1-EXPEXO-30PS036,I410 12M Pressure Switch,UM01,INS,WCOM SAFC,U,INST,SFC,6/24/2016,CLSD CNF  PRT  NMAT PRC  SETC
MJ6A,81056101,MJ6A-H-FFFW-FPDOUT-50PT011,I400 12M Transmitter,UM01,INS,WCOM SAFC,U,INST,SFC,6/19/2016,CLSD CNF  PRT  NMAT PRC  SETC
MJ6A,81056114,MJ6A-U-FUF1-HE1PHE-HE6001,Q002 48M Pressure Vessels Inspection,UM01,NMC,WCOM SAFC,U,MECH,SFC,6/23/2016,CLSD DSEX NMAT PRC  SETC
MJ6A,81056140,MJ6A-P-PGM1-EXPEXO-30PS030,I410 12M Pressure Switch,UM01,INS,WCOM SAFC,U,INST,SFC,6/24/2016,CLSD CNF  PRT  NMAT PRC  SETC
MJ6A,81056167,MJ6A-H-SAEE-BOAFLB,Weekly Maintenance FRC - CT,UM01,MEC,WCOM SAFC,U,MECH,SFF,3/3/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056168,MJ6A-H-SAEE-BOAFLB,Weekly Maintenance FF-LB - J6,UM01,MEC,WCOM SAFC,U,MECH,SFF,3/3/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056169,MJ6A-H-SAEE-BOAFLB,Weekly Maintenance DL-LB - J6,UM01,MEC,WCOM SAFC,U,MECH,SFF,3/3/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056172,MJ6A-U-FUF2-SCRBDV-60XV013,O105 3M Test Blow Down Valve Scubber,UM01,PDN,WCOM SAFC,U,OPS,SFC,6/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056354,MJ6A-U-CAIN-COMEE1-K6101A,S002 12M Air Compressor A,UM01,MEC,WCOM,U,MECH,SFC,6/27/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056385,MJ6A-U-HLCR-DH1,Basecrew Maintenance Crane - J6,UM01,MEC,WCOM SAFC,U,MECH,SFF,7/1/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056386,MJ6A-U-HLCR-DH2,Basecrew Maintenance Crane - CT,UM01,MEC,WCOM SAFC,U,MECH,SFF,7/1/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056395,MJ6A-U-HPWH-WCP,Vendor Service WHC Panel - J6,UM01,NIN,WCOM SAFC,U,INST,SFC,7/1/2016,CLSD CNF  GMPS NMAT PRC  SETC
MJ6A,81056396,MJ6A-U-HPWT,Vendor Service WHC Panel (K4AD) - J6,UM01,NIN,WCOM SAFC,U,INST,SFC,7/1/2016,CLSD CNF  GMPS NMAT PRC  SETC
MJ6A,81056397,MJ6A-U-HPRI-EC1,Vendor Service SSIV Panel - J6,UM01,NIN,WCOM SAFC,U,INST,SFC,7/1/2016,TECO CNF  GMPS NMAT PRC  SETC
MJ6A,81056404,MJ6A-P-PGI1-K4ABDV-06XV012,O105 6M Blowdown Valve,UM01,PDN,WCOM SAFC,U,OPS,SFC,6/30/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056417,MJ6A-P-PGP1-IS1BDV-30XV012,O105 6M Blowdown Valve,UM01,PDN,WCOM SAFC,U,OPS,SFC,6/30/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056425,MJ6A-P-PGP1-PSEBDV-30XV021,O105 6M Blowdown Valve,UM01,PDN,WCOM SAFC,U,OPS,SFC,6/30/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056439,MJ6A-H-SAEE-BOAFLB,M315J6 Free Fall Lifeboat,UM01,MEC,WCOM SAFC,U,CRANE,SFC,7/3/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056529,MJ6A-P-PGP2-IS1BDV-30XV3207,I061 12M BDV HP1 Slugcatcher Blow Down,UM01,INS,WCOM SAFC,U,INST,SFC,7/4/2016,CLSD CNF  PRT  NMAT PRC  SETC
MJ6A,81056530,MJ6A-P-PGP2-IS2BDV-30XV1207,I061 12M BDV HP2 Slugcatcher Blow Down,UM01,INS,WCOM SAFC,U,INST,SFC,7/4/2016,CLSD CNF  PRT  NMAT PRC  SETC
MJ6A,81056580,MJ6A-H-FFFW-FPEOUT-50XV021,O104 12M Inball Valve,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/8/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81056582,MJ6A-P-PGP1-IS2BDV-30XV983,O105 1M Test Blow Down Valve K1A Slugcat,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/5/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057185,MJ6A-U-GLDH-GCOPRV-33PSV007,Q011 48M PSV Recertification,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/15/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057219,MJ6A-F-HVAC-CLO,Fire Dampers Function Check - J6,UM01,INS,WCOM SAFC,U,INST,SFC,7/15/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057228,MJ6A-S-MOHD,Certify Helideck - J6,UM01,NMC,WCOM SAFC,U,MECH,SFC,7/11/2016,TECO CNF  GMPS NMAT PRC  SETC
MJ6A,81057292,MJ6A-H-FFFW-FPDPMP-P5002,Weekly Testrun DFWP - J6,UM01,MEC,WCOM SAFC,U,MECH,SFC,3/29/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057321,MJ6A-P-PGP1-IS1BDV-30XV012,C011 6M Valve Greasing,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/19/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057322,MJ6A-U-FUF1-OUTBDV-60XV005,C011 6M Valve Greasing,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/19/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057327,MJ6A-P-PGC1-EXPBDV-32XV002,C011 6M Valve Greasing,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/19/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057333,MJ6A-P-PGI1-K4ABDV-06XV012,C011 6M Valve Greasing,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/19/2016,CLSD CNF  NMAT PRC  SETC
